Item,Parts,Qty.,Price(USD),Source
Ceramic capacitor SMD,33pF 0402,2,,
Ceramic capacitor SMD,10nF 1206,1,,
Ceramic capacitor SMD,100nF 0402,7,,
Ceramic capacitor SMD,1uF 0603,1,,
Ceramic capacitor SMD,2.2uF,2,,
Ceramic capacitor SMD,4.7uF 0402,1,,
Ceramic capacitor SMD,10uF 0805,1,,
Ceramic capacitor SMD,22uF 0805,1,,
Ferrite bead SMD, 50mΩ 120Ω@100MHz 2A 0603,1,,
USB C receptacle,GCT_USB4085,1,,
THT connector,4(1x2)|1(1x16)|1(1x22)|1(1x5) P1.00mm,-,,
Ceramic resistor SMD,5k1 0402,2,,
Ceramic resistor SMD,10k 0402,2,,
Ceramic resistor SMD,1M 0603,1,,
Push button SMD,SW_SPST_B3U-1000P,2,,
Unidirectional ESD SMD,USBLC6-2SC6,1,,
Low-dropout linear voltage regulator SMD,AMS1117-3.3,1,,
MCU,STM32F405RGT6,1,,
Crystal oscillator SMD,X322512MSB4SI,1,,
