"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"
"C2","1","4.7uF","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206B475K500NT_C29823.pdf"
"C3,C4,C5,C6,C7,C8,C10","7","100nF","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C9","1","10nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C11,C14","2","33pF","","","","Capacitor_SMD:C_0402_1005Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG180J500NT_C1549.pdf"
"C12","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31A106KBHNNNE_C13585.pdf"
"C13","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL31A226KAHNNNE_C12891.pdf"
"C15,C16","2","2.2uF","","","","Capacitor_SMD:C_0603_1608Metric","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf"
"FB1","1","","","","","PCM_JLCPCB:FB_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM18PG121SN1D_C14709.pdf"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","TC2030_SWD","","","","PCM_marbastlib-various:CON_TC2030_outlined",""
"J3","1","Conn_01x05","","","","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical",""
"J4","1","Conn_01x16","","","","Connector_PinHeader_1.00mm:PinHeader_1x16_P1.00mm_Vertical",""
"J5,J7,J8,J9","4","Conn_01x02","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical",""
"J6","1","Conn_01x22","","","","Connector_PinHeader_1.00mm:PinHeader_1x22_P1.00mm_Vertical",""
"R1,R2","2","5k1","","","","Resistor_SMD:R_0402_1005Metric",""
"R3","1","1M","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"R4,R5","2","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"U1","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","STM32F405RGT6","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf"
"X1","1","X322512MSB4SI","","","","PCM_JLCPCB:CRYSTAL-SMD_4P-L3.2-W2.5-BL","https://www.lcsc.com/datasheet/lcsc_datasheet_2403291504_YXC-Crystal-Oscillators-X322512MSB4SI_C9002.pdf"
